id,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms,beds,amenities_count,price,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,host_is_superhost,instant_bookable,high_price_listing
1423934289698697171,ΒΟΤΑΝΙΚΟΣ,Private room,Private room in condo,2,1.0,1.0,2.0,42,39.0,341,4.89,28,7.64,0.0,0,0
1437722052753936902,ΑΝΩ ΚΥΨΕΛΗ,Entire home/apt,Entire guesthouse,3,1.0,1.0,2.0,32,39.0,237,5.0,6,1.82,0.0,0,0
1440540179950963376,ΓΚΥΖΗ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,59,39.0,118,5.0,1,1.0,0.0,0,0
1441939358569695686,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,46,39.0,351,4.0,5,1.88,,0,0
1449321514210187003,ΠΡΟΜΠΟΝΑ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,29,39.0,353,4.67,3,2.0,0.0,1,0
1450502269928599248,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,33,39.0,347,4.67,3,3.0,0.0,1,0
1454925658759409295,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,30,39.0,220,5.0,1,0.57,0.0,0,0
1454989077582114956,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,50,39.0,340,4.9,10,3.8,0.0,0,0
1476237164048834941,ΠΑΤΗΣΙΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,28,39.0,359,5.0,2,2.0,1.0,1,0
1481260396159654148,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire rental unit,6,2.0,1.0,4.0,46,39.0,144,4.8,5,5.0,0.0,1,0
1483231035934845521,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire condo,3,1.0,1.0,2.0,29,39.0,356,4.5,4,4.0,0.0,1,0
1487749598960528701,ΓΟΥΔΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,28,39.0,341,,0,,0.0,1,0
1507875725490287789,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,25,39.0,343,,0,,0.0,1,0
1510222812743160478,ΚΥΨΕΛΗ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,30,39.0,363,,0,,0.0,1,0
1826249,ΓΚΥΖΗ,Private room,Private room in condo,2,1.0,1.0,1.0,26,38.0,127,4.93,392,2.84,1.0,0,0
6971162,ΕΛΛΗΝΟΡΩΣΩΝ,Entire home/apt,Entire rental unit,3,1.0,1.0,3.0,46,38.0,350,4.78,531,4.28,1.0,1,0
8857122,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,22,38.0,114,4.62,84,0.7,0.0,1,0
16569915,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire condo,4,2.0,1.0,3.0,22,38.0,127,4.79,496,4.68,0.0,0,0
18029476,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire condo,5,2.0,1.0,4.0,31,38.0,87,5.0,6,0.16,0.0,0,0
18190138,ΓΚΥΖΗ,Entire home/apt,Entire rental unit,4,1.0,1.0,3.0,24,38.0,260,4.76,46,0.45,0.0,0,0
23542773,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,50,38.0,339,4.81,293,3.19,1.0,1,0
24385582,ΙΛΙΣΙΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,40,38.0,208,4.94,49,0.54,0.0,1,0
25409448,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,26,38.0,319,4.53,722,8.1,0.0,1,0
25419828,ΒΟΤΑΝΙΚΟΣ,Private room,Private room in rental unit,2,1.0,1.0,1.0,20,38.0,38,4.82,323,3.63,1.0,1,0
25473755,ΘΗΣΕΙΟ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,64,38.0,74,4.43,105,1.27,0.0,0,0
26127704,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire rental unit,4,2.0,1.0,3.0,24,38.0,209,4.21,29,0.33,0.0,1,0
26266563,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire loft,2,0.0,1.0,1.0,23,38.0,148,4.57,128,1.48,0.0,1,0
26870993,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,15,38.0,362,4.71,14,0.16,0.0,1,0
27579072,ΓΟΥΒΑ,Entire home/apt,Entire rental unit,4,0.0,1.0,2.0,48,38.0,117,4.97,33,0.39,1.0,0,0
27927293,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,53,38.0,15,4.83,379,4.39,1.0,0,0
28864097,ΓΟΥΔΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,32,38.0,49,4.44,106,1.28,0.0,0,0
